,Symbol,Date,Price
643,ADBE,2017-02-28,117.234210316
644,ADBE,2017-03-31,124.093479
645,ADBE,2017-04-30,130.930526579
646,ADBE,2017-05-31,137.447726864
647,ADBE,2017-06-30,142.869999
648,ADP,2004-01-31,32.81381955
649,ADP,2004-02-29,34.2733077368
650,ADP,2004-03-31,33.4186865217
651,ADP,2004-04-30,35.2837988095
652,ADP,2004-05-31,35.7525189
653,ADP,2004-06-30,34.6908889524
654,ADP,2004-07-31,32.0820854762
655,ADP,2004-08-31,31.7041789545
656,ADP,2004-09-30,33.0077050476
657,ADP,2004-10-31,33.3271964762
658,ADP,2004-11-30,35.6742887619
659,ADP,2004-12-31,35.6085777727
660,ADP,2005-01-31,34.1612358
661,ADP,2005-02-28,34.0387285789
662,ADP,2005-03-31,34.9975581818
663,ADP,2005-04-30,35.1229200952
664,ADP,2005-05-31,35.0039609048
665,ADP,2005-06-30,33.8357188182
666,ADP,2005-07-31,34.11603095
667,ADP,2005-08-31,34.8882688696
668,ADP,2005-09-30,33.5390584286
669,ADP,2005-10-31,34.6161148571
670,ADP,2005-11-30,37.2679701429
671,ADP,2005-12-31,36.9934186667
672,ADP,2006-01-31,36.1772048
673,ADP,2006-02-28,35.6569964737
674,ADP,2006-03-31,36.9812682174
675,ADP,2006-04-30,36.4287725789
676,ADP,2006-05-31,35.4095905909
677,ADP,2006-06-30,35.6291250455
678,ADP,2006-07-31,34.66602175
679,ADP,2006-08-31,36.7499001304
680,ADP,2006-09-30,37.6023409
681,ADP,2006-10-31,37.6867664545
682,ADP,2006-11-30,38.7404258571
683,ADP,2006-12-31,38.67020185
684,ADP,2007-01-31,38.14836565
685,ADP,2007-02-28,39.6118814211
686,ADP,2007-03-31,38.8558141364
687,ADP,2007-04-30,39.4043024
688,ADP,2007-05-31,42.1737574091
689,ADP,2007-06-30,42.829967619
690,ADP,2007-07-31,42.1037662381
691,ADP,2007-08-31,41.4257359565
692,ADP,2007-09-30,39.9491703158
693,ADP,2007-10-31,41.8498302174
694,ADP,2007-11-30,41.080312619
695,ADP,2007-12-31,39.670764
696,ADP,2008-01-31,35.5014843333
697,ADP,2008-02-29,34.79323965
698,ADP,2008-03-31,35.63125555
699,ADP,2008-04-30,38.0612978636
700,ADP,2008-05-31,38.0208204286
701,ADP,2008-06-30,37.4743928571
702,ADP,2008-07-31,36.7930397727
703,ADP,2008-08-31,39.150466
